name,street,college_name
177 Huntington,177 Huntington Avenue,Khoury
West Village H,440 Huntington Avenue,Khoury
Forsyth Building,70 Forsyth Street,Khoury
Richards Hall,360 Huntington Avenue,Khoury
Roux Institute,100 Fore Street,Khoury
Interdisciplinary Science and Engineering Center,805 Columbus Ave,Khoury
Mugar Life Sciences Building,330 Huntington Avenue,COS
Snell Engineering Center,110 Forsyth Street,COS
Shillman Hall,115 Forsyth Street,COS
140 The Fenway,140 Fenway,COS
Marine Science Center,430 Nahant Road,COS
Nightingale Hall,105 Forsyth Street,COS
Egan Research Center,120 Forsyth Street,COS
Hurtig Hall,10 Gainsborough Street,COS
Hayden Hall,360 Huntington Avenue,DMSB
Behrakis Health Sciences Center,30 Leon Street,Bouve
Renaissance Park,1135 Tremont Street,CSSH
Churchill Hall,380 Huntington Avenue,CSSH