username,lab_name
A.Hannak,Auditing Algorithms
H.Nguyen,Algorithms and Theory
K.Bairaktari,Applied Machine Learning
A.Barab·si,Center for Complex Network Research
S.Marsella,Cognitive Embodied Social Agents Research (CESAR) Lab
C.Riedl,Collaborative Social Systems Lab
R.Patel,Communication Ana;ysis and Design Laboratory (CADLAB)
H.Jimison,Consortium on Technology for Proactive Care
D.Sternad,Action Lab
R.Carrier,Advanced Drug Delivery Research Laboratory
A.Satpute,Affective and Brain Sciences Lab
J.Apfeld,Apfeld Lab
M.Ondrechen,Ondrechen Lab
K.Lewis,Lewis Lab
A.Murphy,Bowen Lab
J.Bowen,Emergent Epidemics Lab
M.Di Pierro,Di Pierro Lab
M.Silevitch,Awareness and Localization of Explosives-Related Threats (ALERT)
S.Ostadabbas,SPIRAL Labs
R.Ouyang,MOCA Labs
K.Chowdhury,Next Generation Networks and Systems Lab (GENESYS)
S.Bencherif,Laboratory for Advanced and Multiscale Polymeric Biomaterials (LAMP)
D.Auguste,Auguste Lab
Obrien.d,Boston Area Research Initiative
d.shaughnessy,Social Enterprise Institute
D.Cokely,Center for Atypical Language Interpreting
S.Flynn,Global Resilience Institute